,AD_GRUPOECONOMICO,AD_CODUNNEG,DESCRICAO,SEGMENTO
0,LUBRIZOL - INDUSTRIAL,,,METALWORKING | Lubrificantes
1,ALTERNATIVA IND E COM DE ACRILICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2,Parceiro Teste,4.0,AGRO,
3,BIOTECNICA IND E COM DE MATS HOSP LAB LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4,BRIZIA IND. E COM. DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
5,ATI INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
6,GUMAPLASTIC ARTF DE BORRACHA PLAST LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
7,HERBARIUM LABORATORIO BOTANICO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
8,CERAS JOHNSON LTDA,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
9,CROMATON IND E COM PLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
10,INPOL IND. DE POLIURETANO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
11,BINS INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
12,CARGO TRASPORTES RODOVIARIOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
13,CARLOS MAKOTO HAYAMA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
14,CASA SAVIANO COMERCIO E IMPORTACAO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
15,DAY BRASIL S/A,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
16,DORSAY INDUSTRIA FARMACEUTICA LTDA,3.0,FOOD & NUTRITION,
17,GALDERMA BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
18,GRUPO FCC,1.0,INDUSTRIAL,ADESIVOS | Hot Melt
19,JAMAICA IND ARTEFATOS DE BORRACHA LTDA,1.0,INDUSTRIAL,
20,GRUPO MELFE/PAYOT,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
21,LABORATORIOS STIEFEL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
