,TIPO_MOVIMENTO,TIPMOV,GRUPO,TOP,NRO_UNICO,NUNOTA,SEQUENCIA,NUNOTA_SEQ_ORIG,NUMNOTA_PED_ORIG,NUMNOTA,DIF_DIAS,DT_REL,DTNEG,DT_PREVENT,DTFATUR_PED,DT_ENT_ESTOQUE,CODPROD,REFERENCIA,DESCRPROD,CONTROLE,VLRMOEDA,MOEDA,QTD_NEG,QTD_ENTREGUE,QTD_PENDENTE,VLRUNITDOLAR,VLRTOT_NEG,VLRTOT_DOLAR,VLRTOT_ENTREGUE,VLRTOT_PENDENTE,REPRESENTADA,FAMILIA_PRODUTO,GRUPO_PRODUTO,FGCOLOR,DTVENC_FINAL,OBSERVACAO
0,C-Compra,C-Compra,NACIONAIS,200 - COMPRA - REVENDA - SANTA CATARINA,4735.0,4770,1,4735 / 1,8004,131545,0,2022-07-06,2022-07-06 00:00:00,2022-07-06,2022-07-06,,4674,001.0226,"MERQUAT 550PR - 204,10KG NAC",0102590405,5.3899,USD,2041.0,2041.0,0.0,1.06,2163.46,2163.46,2163.46,0.0,LUBRIZOL,Polímeros Condicionantes,MERQUAT 550PR,#4169E1,2022-09-04,
1,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,1,4473 / 1,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,423,040.0078,LOWACRYL RED 51 - 5KG - UN3077/CLASSE 9/PG III,3,1.0,BLR,45.0,45.0,0.0,79.43,3574.35,3574.35,3574.35,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL RED 51,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
2,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,2,4473 / 2,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,1102,040.0167,RODOL HENP - 1KG(RE)/UN3077/CLASSE 9/PG III,11,1.0,BLR,1.0,1.0,0.0,231.03,231.03,231.03,231.03,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HENP,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
3,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,3,4473 / 4,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,1306,040.0184,LOWALAN ORANGE 7 - 5KG(RE),12,1.0,BLR,10.0,10.0,0.0,18.1,181.0,181.0,181.0,0.0,J.H.LOWENSTEIN,Corante aniônico,LOWALAN ORANGE 7,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
4,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,4,4473 / 3,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,1448,040.0181,MULTI-FIBER TEST FABRIC - 1 UNIDADE(RE),SEM LOTE,1.0,BLR,500.0,500.0,0.0,0.47,235.0,235.0,235.0,0.0,J.H.LOWENSTEIN,Material para teste,MULTI FIBER TEST FABRIC,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
5,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,5,4473 / 5,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,1891,040.0201,LOWACRYL RED 51 - 25KG - UN3077/CLASSE 9/PG III,3,1.0,BLR,200.0,200.0,0.0,73.93,14786.0,14786.0,14786.0,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL RED 51,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
6,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,6,4473 / 13,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,1891,040.0201,LOWACRYL RED 51 - 25KG - UN3077/CLASSE 9/PG III,6,1.0,BLR,25.0,25.0,0.0,73.93,1848.25,1848.25,1848.25,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL RED 51,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
7,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,7,4473 / 6,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,2046,040.0253,LOWALAN BLACK 1-MP - 1KG(RE),A92261,1.0,BLR,1.0,1.0,0.0,38.91,38.91,38.91,38.91,0.0,J.H.LOWENSTEIN,Corante aniônico,LOWALAN BLACK 1 MP,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
8,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,8,4473 / 7,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,2159,040.0256,LOWACRYL RED 51 - 1KG - UN3077/CLASSE 9/PG III,2,1.0,BLR,6.0,6.0,0.0,83.93,503.58,503.58,503.58,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL RED 51,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
9,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,9,4473 / 8,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,2162,040.0259,SHINING COLOR ORANGE EU - 25KG(RE),L94056,1.0,BLR,25.0,25.0,0.0,8.65,216.25,216.25,216.25,0.0,J.H.LOWENSTEIN,Blend não oxidativo,SHINING COLOR ORANGE EU,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
