,REPRESENTADA
0,HONEYWELL
1,LUBRIZOL
2,KEMIRA PIGMENTS OY
3,APRINNOVA
4,OXEN
5,HONEYWELL LUMILUX
6,HONEYWELL FINE CHEMICALS
7,OXEN COSMETICOS
8,DUPONT
9,HONGBAOLI
10,LONGCHEM
11,SAPPI
12,NAGASE AGRO
13,HPF
14,NOVACHEM
15,LIPOTEC USA
16,INHANCE
17,SHIMIZU
18,BCF LIFE SCIENCES
19,POLYMATERIA
20,AVANZARE
21,CONDENSIA
22,ARXADA
23,TAKASAGO FRAGRÂNCIAS
24,YIMEI WAX
25,J.H.LOWENSTEIN
26,NAGASE ALIMENTICIO
27,LONG LIFE BIOCHEM
28,UNIQCHEM
29,LUCKY CHEMICAL
30,LIPOTEC
31,NAGASE COSMETICOS
32,CARBONWAVE
33,OZON
34,HERBALTEC
35,HPF COSMETICOS
36,YEMOJA
37,JOJOBA DESERT
38,TS-BIOTECH
39,EVONIK
40,NAGASE FARMACO
41,ARXADA HOME CARE
42,DEOSEN BIOCHEMICAL
43,EFP BIOTEK
44,ICON FOODS
45,SANDREAM SPEACIALTIES
46,MATRIX LIFE SCIENCE
47,RESUGAR
48,MATANGI
49,CHT BRASIL QUIMICA
50,BDF NATURAL INGREDIENTS
51,SHPL - SUNITA HYDROCOLLOIDS
52,TAKASAGO AROMAS
53,SAREX
54,PEPCOL
55,IZEL KIMYA
56,ANHUI BLACK CAT
